"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13663703;2023-10-10;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"MAYARA";"5.101  ";2;554,07
13664844;2023-10-11;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2372        ";0;"VARILUX XR DESIGN STYLIS 1.67 BLUE UV";"BERNARDO";"6.101  ";2;1128,6
13665024;2023-10-11;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;486,91
13665116;2023-10-11;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;210,16
13665926;2023-10-19;654;195;"SETOR 2 - CRICIUMA - SUL";"LD2393        ";0;"VARILUX XR TRACK ORMA BLUE UV";"SANDY";"5.101  ";2;770,28
13665966;2023-10-13;654;195;"SETOR 2 - CRICIUMA - SUL";"LD2393        ";0;"VARILUX XR TRACK ORMA BLUE UV";"SANDY";"5.101  ";2;158,1
13666389;2023-10-13;654;195;"SETOR 2 - CRICIUMA - SUL";"LD2393        ";0;"VARILUX XR TRACK ORMA BLUE UV";"ALESSANDRA";"5.101  ";2;805,56
13666405;2023-10-11;654;195;"SETOR 2 - CRICIUMA - SUL";"LD2420        ";0;"VARILUX XR TRACK ORMA COLOR";"ALESSANDRA";"5.101  ";2;206,13
13667085;2023-10-13;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2398        ";1;"VARILUX XR TRACK AIRWEAR TGEN8 CINZA";"ERNANDE";"5.101  ";2;241,78
13668088;2023-10-16;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;554,07
13668099;2023-10-19;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;236,01
13668209;2023-10-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2374        ";0;"VARILUX XR DESIGN STY 1.74 BLUE UV";"VINICIOS/MORRETES";"5.102  ";2;1273,12
13668292;2023-10-17;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"JULIANA CARDOSO ";"5.101  ";2;714,67
13668294;2023-10-19;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"JULIANA CARDOSO ";"5.101  ";2;239,02
