"CLICODIGO";"QTD_PAR";"QTD_PAR_TRANSITIONS";"CONJUNTO_DE_5_PARES";"BONIFICACAO";"CLINOMEFANT";"SETOR";"GCLNOME"
1742;2;;0;0;"OPTICA BLICK ";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
1777;2;;0;0;"OTICA MOMM LTDA EPP";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
634;2;1;0;0;"ÓTICA PONTUAL";"SETOR 6 - B CAMBORIU - LITORAL";
4082;2;;0;0;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
154;1;;0;0;"JOALHERIA E OTICA EDUARDO ";"SETOR 2 - CRICIUMA - SUL";"JOALHERIA OTICA EDUARDO"
163;1;1;0;0;"JOALHERIA E OTICA PALADIO LTDA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
4122;1;;0;0;"OTICA SANTA CECILIA";"SETOR 4 - JOINVILLE - NORTE";"OTICA SANTA CECILIA"
314;1;;0;0;"OTICA HUSADEL LTDA";"SETOR 5 - BLUMENAU - VALE";"HUSADEL"
421;1;1;0;0;"GILCINEA DOS ANJOS ME";"SETOR 6 - B CAMBORIU - LITORAL";"GILCINEIA"
168;;;;;"OTICA ORIENTE";"SETOR 1 - FLORIANOPOLIS REDES";
642;;;;;"OPTICA E JOALHERIA LAPIDARE LTDA";"SETOR 1 - FLORIANOPOLIS REDES";
4387;;;;;"A PRIME";"SETOR 1 - FLORIANOPOLIS REDES";"BARBARA K"
295;;;;;"AUGUSTO JOIAS";"SETOR 1 - FLORIANOPOLIS REDES";"BARBARA K"
2090;;;;;"VALMOR OTICA";"SETOR 2 - CRICIUMA - SUL";
826;;;;;"RELOJOARIA E OTICA MIRVAINE LTDA";"SETOR 2 - CRICIUMA - SUL";
1374;;;;;"PALADIO SIMARA JOALHERIA E OTICA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
1432;;;;;"PALADIO SIMARA JOALHERIA E OTICA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
1954;;;;;"PALADIO SIMARA JOALHERIA E OTICA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
329;;;;;"OTICA MODERNA LTDA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
4521;;;;;"MODERNA CONCEPT";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
1435;;;;;"OTICA MODERNA";"SETOR 6 - B CAMBORIU - LITORAL";"OTICA MODERNA LTDA"
44;;;;;"C.B.J. COMERCIO REPRESENTAÇAO LTDA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
4058;;;;;"OTICA MODERNA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
1434;;;;;"OTICA MODERNA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
4747;;;;;"OTICA EVIDENCE";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
1864;;;;;;;
330;;;;;"MOMM - INDAIAL";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
4161;;;;;"OTICA DO ALEMAO";"SETOR 6 - B CAMBORIU - LITORAL";"ALEMAO / ESTEFANO"
1340;;;;;"DANJU JOIAS";"SETOR 1 - FLORIANOPOLIS REDES";"DANJU JOIAS"
4814;;;;;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
2237;;;;;"OTICA XAVIER";"SETOR 6 - B CAMBORIU - LITORAL";"OTICA XAVIER"
275;;;;;"MARIA IVANIR SANTOS XAVIER ME";"SETOR 6 - B CAMBORIU - LITORAL";"OTICA XAVIER"
